#next line: numberOfColumns,numberOfRows,dataType
7,7755,dump
#
# used SQL: SELECT ID,PRICE,POWER,ACCELERATION,FUELCONSUMPTION,CO2EMISSION,TAXES FROM LANGNER.CARS2 WHERE (ID IS NOT NULL) AND (PRICE IS NOT NULL) AND (POWER IS NOT NULL) AND (ACCELERATION IS NOT NULL) AND (FUELCONSUMPTION IS NOT NULL) AND (CO2EMISSION IS NOT NULL) AND (TAXES IS NOT NULL)
#
1.0,0.9719379,0.08264463,0.55378485,0.7255814,0.724,0.8984881
2.0,0.9690744,0.08264463,0.55378485,0.7255814,0.724,0.8984881
3.0,0.9657337,0.18181819,0.6772908,0.6976744,0.694,0.8984881
4.0,0.9628702,0.18181819,0.6772908,0.6976744,0.694,0.8984881
5.0,0.9657337,0.12396694,0.60956174,0.7767442,0.748,0.73326135
6.0,0.9628702,0.12396694,0.60956174,0.7767442,0.748,0.73326135
7.0,0.9664209,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
8.0,0.96582913,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
9.0,0.9636529,0.12396694,0.57768923,0.61860466,0.612,0.8833693
10.0,0.96201116,0.12396694,0.57768923,0.61860466,0.612,0.8833693
11.0,0.959644,0.12396694,0.61752987,0.73023254,0.694,0.66738665
12.0,0.9590522,0.12396694,0.61752987,0.73023254,0.694,0.66738665
13.0,0.954127,0.17355372,0.6494024,0.7255814,0.686,0.66738665
14.0,0.9650846,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
15.0,0.96449286,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
16.0,0.9623166,0.12396694,0.57768923,0.61860466,0.612,0.8833693
17.0,0.9606749,0.12396694,0.57768923,0.61860466,0.612,0.8833693
18.0,0.95830774,0.12396694,0.61752987,0.73023254,0.694,0.66738665
19.0,0.9577159,0.12396694,0.61752987,0.73023254,0.694,0.66738665
20.0,0.95279074,0.17355372,0.6494024,0.7255814,0.686,0.66738665
21.0,0.95303893,0.1570248,0.59362555,0.6465117,0.64199996,0.86933047
22.0,0.94206226,0.23140496,0.6533865,0.572093,0.564,0.84017277
23.0,0.9398669,0.23140496,0.6533865,0.5767442,0.572,0.84017277
24.0,0.9344263,0.23140496,0.6533865,0.572093,0.564,0.84017277
25.0,0.93223095,0.23140496,0.6533865,0.5767442,0.572,0.84017277
26.0,0.93280363,0.3553719,0.7171315,0.4883721,0.48000002,0.76673865
27.0,0.9257404,0.3553719,0.7171315,0.4883721,0.48000002,0.76673865
28.0,0.928413,0.3553719,0.7211155,0.46976745,0.45999998,0.76673865
29.0,0.9244041,0.3553719,0.7131474,0.4372093,0.42799997,0.76673865
30.0,0.9213497,0.3553719,0.7211155,0.46976745,0.45999998,0.76673865
31.0,0.9173409,0.3553719,0.7131474,0.4372093,0.42799997,0.76673865
32.0,0.9518935,0.12396694,0.5737052,0.7255814,0.686,0.66738665
