#next line: numberOfColumns,numberOfRows,dataType
6,19317,dump
#
# used SQL: SELECT gp,pts,reb,asts,fgm,ftm FROM nba.player_regular_season WHERE (gp IS NOT NULL) AND (pts IS NOT NULL) AND (reb IS NOT NULL) AND (asts IS NOT NULL) AND (fgm IS NOT NULL) AND (ftm IS NOT NULL) AND NOT team='TOT'
#
0.47191012,0.033507075,0.04141461,0.010309278,0.034439575,0.029761905
0.78651685,0.10722264,0.12098651,0.025773196,0.11145899,0.09047619
0.6966292,0.12757508,0.13959982,0.014604811,0.13713212,0.09047619
0.123595506,0.015884835,0.01721731,0.008591065,0.016280526,0.014285714
0.13483146,0.015884835,0.021405306,0.0025773195,0.015028178,0.01904762
0.02247191,4.964011E-4,0.0037226616,0.0,6.261741E-4,0.0
0.56179774,0.06304294,0.04932527,0.011168385,0.07326236,0.023809524
0.9101124,0.5860015,0.5537459,0.2895189,0.58735126,0.57738096
0.9101124,0.6443286,0.6100512,0.23367697,0.66562307,0.5595238
0.8988764,0.7004219,0.6263378,0.31786942,0.7257358,0.6
0.8426966,0.5688757,0.56956726,0.32560137,0.6149029,0.3904762
0.8988764,0.5438074,0.5481619,0.33161512,0.593613,0.35119048
0.71910113,0.48374286,0.42438343,0.22680412,0.50845337,0.38690478
0.9101124,0.56465626,0.64355516,0.35481098,0.5723231,0.5321429
0.9101124,0.5341276,0.50721264,0.27405497,0.55604255,0.44761905
0.6853933,0.39712086,0.3727315,0.23109965,0.4151534,0.32619047
0.8876405,0.47232565,0.47696602,0.3702749,0.48653725,0.4154762
0.9101124,0.5048399,0.4122848,0.31872854,0.52285534,0.43333334
0.8876405,0.51998013,0.38203815,0.23367697,0.52348155,0.50357145
0.8426966,0.4512286,0.30665424,0.19329897,0.47150907,0.37142858
0.8764045,0.42740133,0.27547696,0.17182131,0.45209768,0.33095238
0.8876405,0.42616034,0.2731503,0.18127148,0.44834062,0.3392857
0.8764045,0.43062794,0.28943694,0.21391752,0.45272386,0.3440476
0.8764045,0.45817822,0.22242904,0.24054983,0.47276142,0.4
0.8651685,0.33904195,0.24336901,0.17439863,0.3506575,0.29166666
0.8876405,0.28915364,0.22242904,0.11597938,0.30056354,0.24404761
0.8202247,0.18565401,0.15542112,0.06357388,0.19599248,0.1452381
0.74157304,0.23380491,0.05630526,0.17697595,0.2611146,0.1
0.8988764,0.20774385,0.05304793,0.16494845,0.22291797,0.11190476
0.8988764,0.38545546,0.10469986,0.29553264,0.39636818,0.25833333
0.8876405,0.35666418,0.078175895,0.31099656,0.36819035,0.2607143
0.80898875,0.28915364,0.06375058,0.22594501,0.29555416,0.16428572
0.6292135,0.2717796,0.06421591,0.33419243,0.25923607,0.17380953
0.83146065,0.25589475,0.05677059,0.16237113,0.25735754,0.13690476
0.33707866,0.056341525,0.01721731,0.04982818,0.06449593,0.01904762
0.4494382,0.066021346,0.011633318,0.0652921,0.075140886,0.026190476
0.6516854,0.0933234,0.053978596,0.043814432,0.090169065,0.1
0.53932583,0.11268305,0.08655188,0.042955328,0.11083281,0.11190476
0.15730338,0.033258874,0.0241973,0.02233677,0.03193488,0.036904763
0.505618,0.1397369,0.11121452,0.06185567,0.13963681,0.13690476
0.31460676,0.027550261,0.02745463,0.018900344,0.026925486,0.025
0.25842696,0.033507075,0.039087947,0.020618556,0.034439575,0.028571429
0.14606741,0.014147432,0.018613309,0.018041236,0.0169067,0.0035714286
0.8876405,0.3708116,0.25825965,0.15034364,0.34439576,0.46071428
0.9101124,0.4539588,0.2703583,0.18298969,0.40889168,0.59761906
0.5505618,0.28592703,0.17403443,0.14776632,0.2417032,0.43928573
0.9101124,0.41275752,0.38389948,0.23281787,0.3719474,0.5309524
0.8988764,0.41275752,0.34201956,0.21477664,0.37820914,0.52738094
0.85393256,0.4060561,0.32387158,0.20532647,0.37445208,0.49880952
0.8988764,0.39910647,0.31503025,0.20790379,0.35441452,0.5416667
0.58426964,0.26433358,0.23033969,0.109106526,0.23982467,0.35
0.3483146,0.07917597,0.067007914,0.040378008,0.07388854,0.09404762
0.5955056,0.2256143,0.18241042,0.09536082,0.21102066,0.26190478
0.7977528,0.22015388,0.16612378,0.12800688,0.2078898,0.2595238
0.8876405,0.19682303,0.18520242,0.093642615,0.19411397,0.20238096
0.056179777,0.0024820054,0.004653327,0.0034364262,0.0018785222,0.004761905
0.7752809,0.10896004,0.13541181,0.08419244,0.10582342,0.120238096
0.80898875,0.12236287,0.123313166,0.08676976,0.12586099,0.108333334
0.7752809,0.10474063,0.100511864,0.06786942,0.110206634,0.083333336
0.74157304,0.0898486,0.08887855,0.074742265,0.09580463,0.06666667
0.101123594,9.928022E-4,0.0037226616,8.5910654E-4,6.261741E-4,0.0023809525
0.31460676,0.014643832,0.018613309,0.0154639175,0.015028178,0.013095238
0.0,0.0,4.653327E-4,8.5910654E-4,0.0,0.0
0.5168539,0.1308017,0.0,0.03006873,0.12648717,0.14642857
0.04494382,4.964011E-4,0.0,8.5910654E-4,0.0,0.0023809525
0.033707865,9.928022E-4,0.0,8.5910654E-4,6.261741E-4,0.0023809525
0.04494382,0.002233805,0.0023266636,0.0034364262,0.0025046964,0.0
0.30337077,0.010672623,0.0069799908,0.01975945,0.008766437,0.017857144
0.8764045,0.071233556,0.12563983,0.036082473,0.0676268,0.08452381
0.6853933,0.034003474,0.06793857,0.016323024,0.034439575,0.030952381
0.8876405,0.0898486,0.2005584,0.05756014,0.08641202,0.098809525
0.752809,0.07073715,0.16705444,0.021477664,0.06825297,0.07857143
0.752809,0.051625714,0.117263846,0.018900344,0.048841577,0.060714286
0.056179777,0.0014892033,0.0027919963,0.0,0.0012523482,0.0011904762
0.123595506,0.014395632,0.028385295,0.0042955326,0.015028178,0.011904762
0.24719101,0.019111441,0.021870637,0.009450172,0.018159049,0.022619048
0.8876405,0.37701663,0.3382969,0.38659793,0.3938635,0.31071427
0.7977528,0.3216679,0.30339694,0.2766323,0.32686287,0.3
0.7752809,0.268553,0.262913,0.19329897,0.27175954,0.2547619
0.85393256,0.33978656,0.32805955,0.30927834,0.35629305,0.275
0.83146065,0.2774882,0.28338763,0.2766323,0.29117095,0.22380953
0.83146065,0.27674362,0.25407165,0.29553264,0.28678772,0.23690476
0.8764045,0.29684785,0.27268496,0.30584192,0.31747025,0.21666667
0.8876405,0.2817076,0.25500232,0.32302406,0.29868504,0.21428572
0.7752809,0.16629437,0.14844114,0.18814433,0.16844083,0.15714286
0.9101124,0.29833704,0.23266636,0.2646048,0.29805887,0.29761904
0.8651685,0.20873666,0.2219637,0.2783505,0.21352535,0.18928571
0.752809,0.18763961,0.15728246,0.19158076,0.19474013,0.15952381
0.9101124,0.15165053,0.16984645,0.15721649,0.1571697,0.12857144
0.9101124,0.23256391,0.2703583,0.14862543,0.24483407,0.1845238
0.7752809,0.20302805,0.22987436,0.1176976,0.19223544,0.24285714
0.02247191,0.003226607,0.0037226616,0.0025773195,0.0037570444,0.0011904762
0.033707865,0.0057086125,0.010237319,0.0042955326,0.0050093927,0.008333334
0.7752809,0.16182676,0.19497441,0.096219935,0.16092674,0.16428572
0.8202247,0.18838422,0.20846905,0.12113402,0.18973075,0.18214285
0.74157304,0.099280216,0.1451838,0.11082474,0.10582342,0.07380953
0.8426966,0.107967235,0.12145184,0.13831615,0.1039449,0.12261905
0.85393256,0.1392405,0.17263843,0.12886597,0.1352536,0.15357143
0.66292137,0.092578806,0.0953932,0.05498282,0.09580463,0.077380955
0.8876405,0.14519732,0.15867846,0.109106526,0.15842204,0.092857145
0.83146065,0.17225118,0.1521638,0.10824742,0.19411397,0.086904764
0.66292137,0.043186896,0.03583062,0.011168385,0.046963055,0.028571429
0.19101124,0.009928022,0.0027919963,0.018900344,0.0100187855,0.00952381
0.6966292,0.11243485,0.057235923,0.209622,0.10018785,0.125
0.9101124,0.28220403,0.1037692,0.43213058,0.26048842,0.19761905
0.85393256,0.35343757,0.13168916,0.42096218,0.29304945,0.38333333
0.8764045,0.30305287,0.10469986,0.42525774,0.24921729,0.31785715
0.7303371,0.43484735,0.11912517,0.5953608,0.3506575,0.5535714
0.8651685,0.34946638,0.14425313,0.5103093,0.30369443,0.37261903
