7,1011,dump
#
# used SQL: SELECT CPU_TYPE,CPU_SPEED,RAM_INSTALLED,HARD_DRIVE,SCREEN_SIZE,WEIGHT,BEST_PRICE FROM NOTEBOOKS_SHOPPINGCOM.PRODUCTS_TEST WHERE (CPU_TYPE IS NOT NULL) AND (CPU_SPEED IS NOT NULL) AND (RAM_INSTALLED IS NOT NULL) AND (HARD_DRIVE IS NOT NULL) AND (SCREEN_SIZE IS NOT NULL) AND (WEIGHT IS NOT NULL) AND (BEST_PRICE IS NOT NULL) AND BEST_PRICE>50
#
0.0,0.6296296,0.032258064,0.038945183,0.625,0.9879639,0.82142895
0.0,0.32407406,0.22580644,0.030399218,0.53676474,0.9929162,0.9347506
0.0,0.32407406,0.09677419,0.019411549,0.38970593,0.9936058,0.9656571
0.0,0.18518518,0.48387095,0.038945183,0.6764706,0.9879639,0.87067103
0.0,0.5694444,0.48387095,0.038945183,0.7941177,0.9837011,0.9061403
0.0,0.8796296,0.48387095,0.0059821755,0.89705884,0.97668004,0.13003856
0.0,0.6018519,0.22580644,0.030399218,0.77941173,0.9848922,0.8786633
0.0,0.5092593,0.3548387,0.002319619,0.7941177,0.9842026,0.9272071
0.0,0.32407406,0.22580644,0.030399218,0.50000006,0.9921013,0.9427657
0.0,0.5092593,0.48387095,0.038945183,0.77941173,0.98580116,0.83287585
0.0,0.5555556,0.3548387,0.038945183,0.7941177,0.9842026,0.9411242
0.0,0.35185185,0.09677419,0.019411549,0.38970593,0.9948596,0.9473994
0.0,0.5555556,0.3548387,0.019411549,0.77941173,0.98294884,0.83288497
0.0,0.5092593,0.48387095,0.024294958,0.77941173,0.984516,0.6634623
0.0,0.5092593,0.0,2.4417043E-4,0.625,0.9894684,0.7607606
0.0,0.32407406,0.22580644,0.01452814,0.77941173,0.9835757,0.8559962
0.0,0.1388889,0.032258064,0.0047613233,0.53676474,0.99297893,0.9702359
0.0,0.32407406,0.09677419,0.019411549,0.38970593,0.99548644,0.97939336
0.0,0.18518518,0.48387095,0.06092052,0.625,0.99266547,0.88326263
0.0,0.5555556,0.3548387,0.038945183,0.8235294,0.9842026,0.8443227
0.0,0.7546296,0.3548387,0.015504822,0.77941173,0.9848295,0.49290407
0.0,0.35185185,0.09677419,0.019411549,0.38970593,0.9942327,0.9748215
0.0,0.0,0.032258064,8.545965E-4,0.1617647,0.9967402,1.0
0.0,0.32407406,0.09677419,0.019411549,0.50000006,0.9929162,0.92651117
0.0,0.18518518,0.48387095,0.06092052,0.625,0.99128634,0.8719806
0.0,0.5092593,0.48387095,0.06092052,0.6838236,0.9885908,0.8580589
0.0,0.23148148,0.48387095,0.038945183,0.6838236,0.9893117,0.84225994
0.0,0.6944444,0.48387095,0.06092052,0.85294116,0.9820085,0.6750076
0.0,0.6944444,0.3548387,0.030399218,0.77941173,0.9848295,0.6634623
0.0,0.1388889,0.48387095,0.038945183,0.7941177,0.9863967,0.9107145
0.0,0.7546296,0.48387095,0.038945183,0.53676474,0.9885908,0.81020874
0.0,0.32407406,0.22580644,0.019411549,0.77941173,0.9842026,0.85348016
0.0,1.0,0.48387095,0.019411549,0.89705884,0.97668004,0.0075571537
0.0,0.6018519,0.48387095,0.038945183,0.6764706,0.9873997,0.89148146
0.0,0.35185185,0.09677419,0.019411549,0.38970593,0.9954238,0.9507808
0.0,0.32407406,0.48387095,0.038945183,0.7941177,0.9802533,0.76419467
0.0,0.5694444,0.3548387,0.038945183,0.7941177,0.9747994,0.75869787
0.0,0.18518518,0.48387095,0.06092052,0.625,0.99128634,0.89011014
0.0,0.35185185,0.22580644,0.030399218,0.77941173,0.9842026,0.82028425
0.0,0.5694444,0.22580644,0.019411549,0.53676474,0.99297893,0.5208664
0.0,0.5092593,0.22580644,0.019411549,0.7941177,0.98514295,0.89697826
0.0,0.35185185,0.09677419,0.019411549,0.38970593,0.9932924,0.9821406
0.0,0.5694444,0.48387095,0.06092052,0.6764706,0.9863967,0.8237183
0.0,0.6944444,0.09677419,0.030399218,0.77941173,0.9835757,0.78110623
0.0,0.32407406,0.09677419,0.019411549,0.38970593,0.9939506,0.95901793
0.0,0.7546296,0.7419355,0.06092052,0.9044118,0.97542626,0.791294
