6,7755,dump
#
# used SQL: SELECT PRICE,POWER,ACCELERATION,FUELCONSUMPTION,CO2EMISSION,TAXES FROM LANGNER.CARS2 WHERE (PRICE IS NOT NULL) AND (POWER IS NOT NULL) AND (ACCELERATION IS NOT NULL) AND (FUELCONSUMPTION IS NOT NULL) AND (CO2EMISSION IS NOT NULL) AND (TAXES IS NOT NULL)
#
0.9719379,0.08264463,0.55378485,0.7255814,0.724,0.8984881
0.9690744,0.08264463,0.55378485,0.7255814,0.724,0.8984881
0.9657337,0.18181819,0.6772908,0.6976744,0.694,0.8984881
0.9628702,0.18181819,0.6772908,0.6976744,0.694,0.8984881
0.9657337,0.12396694,0.60956174,0.7767442,0.748,0.73326135
0.9628702,0.12396694,0.60956174,0.7767442,0.748,0.73326135
0.9664209,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
0.96582913,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
0.9636529,0.12396694,0.57768923,0.61860466,0.612,0.8833693
0.96201116,0.12396694,0.57768923,0.61860466,0.612,0.8833693
0.959644,0.12396694,0.61752987,0.73023254,0.694,0.66738665
0.9590522,0.12396694,0.61752987,0.73023254,0.694,0.66738665
0.954127,0.17355372,0.6494024,0.7255814,0.686,0.66738665
0.9650846,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
0.96449286,0.09917355,0.54980075,0.61860466,0.60800004,0.8833693
0.9623166,0.12396694,0.57768923,0.61860466,0.612,0.8833693
0.9606749,0.12396694,0.57768923,0.61860466,0.612,0.8833693
0.95830774,0.12396694,0.61752987,0.73023254,0.694,0.66738665
0.9577159,0.12396694,0.61752987,0.73023254,0.694,0.66738665
0.95279074,0.17355372,0.6494024,0.7255814,0.686,0.66738665
0.95303893,0.1570248,0.59362555,0.6465117,0.64199996,0.86933047
0.94206226,0.23140496,0.6533865,0.572093,0.564,0.84017277
0.9398669,0.23140496,0.6533865,0.5767442,0.572,0.84017277
0.9344263,0.23140496,0.6533865,0.572093,0.564,0.84017277
0.93223095,0.23140496,0.6533865,0.5767442,0.572,0.84017277
0.93280363,0.3553719,0.7171315,0.4883721,0.48000002,0.76673865
0.9257404,0.3553719,0.7171315,0.4883721,0.48000002,0.76673865
0.928413,0.3553719,0.7211155,0.46976745,0.45999998,0.76673865
0.9244041,0.3553719,0.7131474,0.4372093,0.42799997,0.76673865
0.9213497,0.3553719,0.7211155,0.46976745,0.45999998,0.76673865
0.9173409,0.3553719,0.7131474,0.4372093,0.42799997,0.76673865
0.9518935,0.12396694,0.5737052,0.7255814,0.686,0.66738665
