7,1294,dump
#
# used SQL: SELECT CPU_TYPE,CPU_SPEED,RAM_INSTALLED,HARD_DRIVE,SCREEN_SIZE,WEIGHT,BEST_PRICE FROM NOTEBOOKS_SHOPPINGCOM.PRODUCTS_TEST WHERE (CPU_TYPE IS NOT NULL) AND (CPU_SPEED IS NOT NULL) AND (RAM_INSTALLED IS NOT NULL) AND (HARD_DRIVE IS NOT NULL) AND (SCREEN_SIZE IS NOT NULL) AND (WEIGHT IS NOT NULL) AND (BEST_PRICE IS NOT NULL) AND BEST_PRICE>50
#
0.0,0.48042706,0.13043478,0.009644732,0.7368421,0.796977,0.9982091
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9343868,0.9490439
0.0,0.6939502,0.65217394,0.06092052,0.87719303,0.7643421,0.8464889
0.0,0.6227758,0.47826087,0.038945183,0.6228071,0.8488492,0.8976563
0.0,0.52669036,0.04347826,0.0047613233,0.6228071,0.8701477,0.9019343
0.0,0.38434163,0.3043478,0.030399218,0.4035088,0.93782204,0.9445946
0.0,0.5516014,0.0,0.0035404712,0.6228071,0.84129167,0.99189997
0.0,0.48042706,0.13043478,0.0018312782,0.16666664,0.86911714,0.973304
0.0,0.48042706,0.3043478,0.030399218,0.44736847,0.8996908,0.89320695
0.0,0.6227758,0.3043478,0.030399218,0.5526316,0.86224663,0.89453954
0.0,0.6797153,0.47826087,2.4417043E-4,0.87719303,0.79216766,0.88875765
0.0,0.5516014,0.3043478,0.019411549,0.5526316,0.8777053,0.8889779
0.0,0.6227758,0.13043478,0.01452814,0.7368421,0.8072827,0.81111443
0.0,0.658363,0.65217394,0.030399218,0.6228071,0.8553761,0.8731827
0.0,0.37366548,0.47826087,0.038945183,0.754386,0.8485057,0.9005484
0.0,0.38434163,0.13043478,0.019411549,0.4035088,0.9343868,0.9488237
0.0,0.40925267,0.47826087,0.030399218,0.44736847,0.9199588,0.83537
0.0,0.48042706,0.13043478,0.019411549,0.2631579,0.9395397,0.9332599
